Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-2', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=2)
Using GPU : 0 from 1 devices
Train 0, loss: 4.586359, train acc: 0.037281, train avg acc: 0.037281
Test 0, loss: 5.109973, test acc: 0.065476, test avg acc: 0.065476
Train 1, loss: 3.768056, train acc: 0.031798, train avg acc: 0.031798
Test 1, loss: 3.579714, test acc: 0.011905, test avg acc: 0.011905
Train 2, loss: 3.569198, train acc: 0.040570, train avg acc: 0.040570
Test 2, loss: 3.508856, test acc: 0.047619, test avg acc: 0.047619
Train 3, loss: 3.514654, train acc: 0.050439, train avg acc: 0.050439
Test 3, loss: 3.488112, test acc: 0.041667, test avg acc: 0.041667
Train 4, loss: 3.515247, train acc: 0.048246, train avg acc: 0.048246
Test 4, loss: 3.442258, test acc: 0.083333, test avg acc: 0.083333
Train 5, loss: 3.506998, train acc: 0.047149, train avg acc: 0.047149
Test 5, loss: 3.444570, test acc: 0.065476, test avg acc: 0.065476
Train 6, loss: 3.477747, train acc: 0.037281, train avg acc: 0.037281
Test 6, loss: 3.442102, test acc: 0.077381, test avg acc: 0.077381
Train 7, loss: 3.460753, train acc: 0.032895, train avg acc: 0.032895
Test 7, loss: 3.426657, test acc: 0.065476, test avg acc: 0.065476
Train 8, loss: 3.461243, train acc: 0.053728, train avg acc: 0.053728
Test 8, loss: 3.459786, test acc: 0.053571, test avg acc: 0.053571
Train 9, loss: 3.448113, train acc: 0.060307, train avg acc: 0.060307
Test 9, loss: 3.403709, test acc: 0.089286, test avg acc: 0.089286
Train 10, loss: 3.454845, train acc: 0.039474, train avg acc: 0.039474
Test 10, loss: 3.403074, test acc: 0.101190, test avg acc: 0.101190
Train 11, loss: 3.433674, train acc: 0.063596, train avg acc: 0.063596
Test 11, loss: 3.413020, test acc: 0.071429, test avg acc: 0.071429
Train 12, loss: 3.446141, train acc: 0.048246, train avg acc: 0.048246
Test 12, loss: 3.429380, test acc: 0.053571, test avg acc: 0.053571
Train 13, loss: 3.434134, train acc: 0.061404, train avg acc: 0.061404
Test 13, loss: 3.396040, test acc: 0.107143, test avg acc: 0.107143
Train 14, loss: 3.419550, train acc: 0.065789, train avg acc: 0.065789
Test 14, loss: 3.415603, test acc: 0.041667, test avg acc: 0.041667
Train 15, loss: 3.416178, train acc: 0.076754, train avg acc: 0.076754
Test 15, loss: 3.418229, test acc: 0.107143, test avg acc: 0.107143
Train 16, loss: 3.418401, train acc: 0.062500, train avg acc: 0.062500
Test 16, loss: 3.389916, test acc: 0.095238, test avg acc: 0.095238
Train 17, loss: 3.425264, train acc: 0.057018, train avg acc: 0.057018
Test 17, loss: 3.368085, test acc: 0.101190, test avg acc: 0.101190
Train 18, loss: 3.428011, train acc: 0.054825, train avg acc: 0.054825
Test 18, loss: 3.391047, test acc: 0.113095, test avg acc: 0.113095
Train 19, loss: 3.413340, train acc: 0.053728, train avg acc: 0.053728
Test 19, loss: 3.391255, test acc: 0.047619, test avg acc: 0.047619
Train 20, loss: 3.406498, train acc: 0.059211, train avg acc: 0.059211
Test 20, loss: 3.387894, test acc: 0.101190, test avg acc: 0.101190
Train 21, loss: 3.418160, train acc: 0.039474, train avg acc: 0.039474
Test 21, loss: 3.395093, test acc: 0.136905, test avg acc: 0.136905
Train 22, loss: 3.419988, train acc: 0.042763, train avg acc: 0.042763
Test 22, loss: 3.395620, test acc: 0.077381, test avg acc: 0.077381
Train 23, loss: 3.407448, train acc: 0.059211, train avg acc: 0.059211
Test 23, loss: 3.373921, test acc: 0.107143, test avg acc: 0.107143
Train 24, loss: 3.394274, train acc: 0.073465, train avg acc: 0.073465
Test 24, loss: 3.386779, test acc: 0.089286, test avg acc: 0.089286
Train 25, loss: 3.407153, train acc: 0.054825, train avg acc: 0.054825
Test 25, loss: 3.381129, test acc: 0.101190, test avg acc: 0.101190
Train 26, loss: 3.382797, train acc: 0.081140, train avg acc: 0.081140
Test 26, loss: 3.380014, test acc: 0.083333, test avg acc: 0.083333
Train 27, loss: 3.404778, train acc: 0.074561, train avg acc: 0.074561
Test 27, loss: 3.384503, test acc: 0.089286, test avg acc: 0.089286
Train 28, loss: 3.398279, train acc: 0.064693, train avg acc: 0.064693
Test 28, loss: 3.381191, test acc: 0.148810, test avg acc: 0.148810
Train 29, loss: 3.384715, train acc: 0.071272, train avg acc: 0.071272
Test 29, loss: 3.366641, test acc: 0.142857, test avg acc: 0.142857
Train 30, loss: 3.389040, train acc: 0.074561, train avg acc: 0.074561
Test 30, loss: 3.376829, test acc: 0.107143, test avg acc: 0.107143
Train 31, loss: 3.392698, train acc: 0.084430, train avg acc: 0.084430
Test 31, loss: 3.366822, test acc: 0.166667, test avg acc: 0.166667
Train 32, loss: 3.385593, train acc: 0.061404, train avg acc: 0.061404
Test 32, loss: 3.376821, test acc: 0.208333, test avg acc: 0.208333
Train 33, loss: 3.378144, train acc: 0.074561, train avg acc: 0.074561
Test 33, loss: 3.369804, test acc: 0.160714, test avg acc: 0.160714
Train 34, loss: 3.363169, train acc: 0.084430, train avg acc: 0.084430
Test 34, loss: 3.365652, test acc: 0.130952, test avg acc: 0.130952
Train 35, loss: 3.387950, train acc: 0.073465, train avg acc: 0.073465
Test 35, loss: 3.374677, test acc: 0.166667, test avg acc: 0.166667
Train 36, loss: 3.368876, train acc: 0.078947, train avg acc: 0.078947
Test 36, loss: 3.370596, test acc: 0.154762, test avg acc: 0.154762
Train 37, loss: 3.362647, train acc: 0.073465, train avg acc: 0.073465
Test 37, loss: 3.370392, test acc: 0.142857, test avg acc: 0.142857
Train 38, loss: 3.356580, train acc: 0.082237, train avg acc: 0.082237
Test 38, loss: 3.370398, test acc: 0.166667, test avg acc: 0.166667
Train 39, loss: 3.369445, train acc: 0.087719, train avg acc: 0.087719
Test 39, loss: 3.368207, test acc: 0.148810, test avg acc: 0.148810
Train 40, loss: 3.373680, train acc: 0.086623, train avg acc: 0.086623
Test 40, loss: 3.369572, test acc: 0.178571, test avg acc: 0.178571
Train 41, loss: 3.360456, train acc: 0.093202, train avg acc: 0.093202
Test 41, loss: 3.365649, test acc: 0.142857, test avg acc: 0.142857
Train 42, loss: 3.366228, train acc: 0.080044, train avg acc: 0.080044
Test 42, loss: 3.370557, test acc: 0.160714, test avg acc: 0.160714
Train 43, loss: 3.362173, train acc: 0.082237, train avg acc: 0.082237
Test 43, loss: 3.373877, test acc: 0.107143, test avg acc: 0.107143
Train 44, loss: 3.361180, train acc: 0.099781, train avg acc: 0.099781
Test 44, loss: 3.368534, test acc: 0.178571, test avg acc: 0.178571
Train 45, loss: 3.367467, train acc: 0.073465, train avg acc: 0.073465
