Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-20', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=20)
Using GPU : 0 from 1 devices
Train 0, loss: 3.787645, train acc: 0.041667, train avg acc: 0.041707
Test 0, loss: 3.751520, test acc: 0.041667, test avg acc: 0.041667
Train 1, loss: 3.862726, train acc: 0.046007, train avg acc: 0.045721
Test 1, loss: 3.713096, test acc: 0.050000, test avg acc: 0.050000
Train 2, loss: 3.861210, train acc: 0.046007, train avg acc: 0.046111
Test 2, loss: 3.584469, test acc: 0.058333, test avg acc: 0.058333
Train 3, loss: 3.745975, train acc: 0.050347, train avg acc: 0.050194
Test 3, loss: 3.574101, test acc: 0.045833, test avg acc: 0.045833
Train 4, loss: 3.699056, train acc: 0.053819, train avg acc: 0.054048
Test 4, loss: 3.481396, test acc: 0.041667, test avg acc: 0.041667
Train 5, loss: 3.640001, train acc: 0.050347, train avg acc: 0.050201
Test 5, loss: 3.457983, test acc: 0.050000, test avg acc: 0.050000
Train 6, loss: 3.606559, train acc: 0.050347, train avg acc: 0.049999
Test 6, loss: 3.423438, test acc: 0.066667, test avg acc: 0.066667
Train 7, loss: 3.513053, train acc: 0.061632, train avg acc: 0.061409
Test 7, loss: 3.428484, test acc: 0.100000, test avg acc: 0.100000
Train 8, loss: 3.475546, train acc: 0.066840, train avg acc: 0.066783
Test 8, loss: 3.426886, test acc: 0.091667, test avg acc: 0.091667
Train 9, loss: 3.525917, train acc: 0.059028, train avg acc: 0.058581
Test 9, loss: 3.380463, test acc: 0.150000, test avg acc: 0.150000
Train 10, loss: 3.477499, train acc: 0.070312, train avg acc: 0.070928
Test 10, loss: 3.387944, test acc: 0.108333, test avg acc: 0.108333
Train 11, loss: 3.443133, train acc: 0.069444, train avg acc: 0.069579
Test 11, loss: 3.373635, test acc: 0.158333, test avg acc: 0.158333
Train 12, loss: 3.418464, train acc: 0.069444, train avg acc: 0.068927
Test 12, loss: 3.360604, test acc: 0.145833, test avg acc: 0.145833
Train 13, loss: 3.425321, train acc: 0.072917, train avg acc: 0.073487
Test 13, loss: 3.354393, test acc: 0.120833, test avg acc: 0.120833
Train 14, loss: 3.430569, train acc: 0.078125, train avg acc: 0.077883
Test 14, loss: 3.369961, test acc: 0.116667, test avg acc: 0.116667
Train 15, loss: 3.406737, train acc: 0.078125, train avg acc: 0.077817
Test 15, loss: 3.355928, test acc: 0.166667, test avg acc: 0.166667
Train 16, loss: 3.403742, train acc: 0.078993, train avg acc: 0.078880
Test 16, loss: 3.363403, test acc: 0.129167, test avg acc: 0.129167
Train 17, loss: 3.402369, train acc: 0.085938, train avg acc: 0.086385
Test 17, loss: 3.351737, test acc: 0.141667, test avg acc: 0.141667
Train 18, loss: 3.402970, train acc: 0.081597, train avg acc: 0.081605
Test 18, loss: 3.360208, test acc: 0.158333, test avg acc: 0.158333
Train 19, loss: 3.384704, train acc: 0.074653, train avg acc: 0.074807
Test 19, loss: 3.355112, test acc: 0.145833, test avg acc: 0.145833
Train 20, loss: 3.391862, train acc: 0.082465, train avg acc: 0.082037
Test 20, loss: 3.375793, test acc: 0.100000, test avg acc: 0.100000
Train 21, loss: 3.385549, train acc: 0.078125, train avg acc: 0.078009
Test 21, loss: 3.364542, test acc: 0.158333, test avg acc: 0.158333
Train 22, loss: 3.378045, train acc: 0.081597, train avg acc: 0.081443
Test 22, loss: 3.349942, test acc: 0.129167, test avg acc: 0.129167
Train 23, loss: 3.366698, train acc: 0.082465, train avg acc: 0.083188
Test 23, loss: 3.347518, test acc: 0.116667, test avg acc: 0.116667
Train 24, loss: 3.369424, train acc: 0.078993, train avg acc: 0.079394
Test 24, loss: 3.350940, test acc: 0.070833, test avg acc: 0.070833
Train 25, loss: 3.369667, train acc: 0.086806, train avg acc: 0.086861
Test 25, loss: 3.353427, test acc: 0.112500, test avg acc: 0.112500
Train 26, loss: 3.360952, train acc: 0.099826, train avg acc: 0.099247
Test 26, loss: 3.334431, test acc: 0.095833, test avg acc: 0.095833
Train 27, loss: 3.339653, train acc: 0.112847, train avg acc: 0.113025
Test 27, loss: 3.318168, test acc: 0.137500, test avg acc: 0.137500
Train 28, loss: 3.344949, train acc: 0.079861, train avg acc: 0.079808
Test 28, loss: 3.318226, test acc: 0.083333, test avg acc: 0.083333
Train 29, loss: 3.346363, train acc: 0.096354, train avg acc: 0.097524
Test 29, loss: 3.345325, test acc: 0.091667, test avg acc: 0.091667
Train 30, loss: 3.316866, train acc: 0.110243, train avg acc: 0.109207
Test 30, loss: 3.296125, test acc: 0.112500, test avg acc: 0.112500
Train 31, loss: 3.323639, train acc: 0.100694, train avg acc: 0.100287
Test 31, loss: 3.292055, test acc: 0.054167, test avg acc: 0.054167
Train 32, loss: 3.321487, train acc: 0.111111, train avg acc: 0.111579
Test 32, loss: 3.305131, test acc: 0.104167, test avg acc: 0.104167
Train 33, loss: 3.312751, train acc: 0.107639, train avg acc: 0.107440
Test 33, loss: 3.285630, test acc: 0.133333, test avg acc: 0.133333
Train 34, loss: 3.320555, train acc: 0.086806, train avg acc: 0.087474
Test 34, loss: 3.305009, test acc: 0.112500, test avg acc: 0.112500
Train 35, loss: 3.315823, train acc: 0.103299, train avg acc: 0.103967
Test 35, loss: 3.303686, test acc: 0.100000, test avg acc: 0.100000
Train 36, loss: 3.290745, train acc: 0.100694, train avg acc: 0.100985
Test 36, loss: 3.290401, test acc: 0.112500, test avg acc: 0.112500
Train 37, loss: 3.281562, train acc: 0.118056, train avg acc: 0.118167
Test 37, loss: 3.260043, test acc: 0.154167, test avg acc: 0.154167
Train 38, loss: 3.279486, train acc: 0.120660, train avg acc: 0.121056
Test 38, loss: 3.277096, test acc: 0.120833, test avg acc: 0.120833
Train 39, loss: 3.281236, train acc: 0.104167, train avg acc: 0.103591
Test 39, loss: 3.252727, test acc: 0.137500, test avg acc: 0.137500
Train 40, loss: 3.257655, train acc: 0.117188, train avg acc: 0.116861
Test 40, loss: 3.249033, test acc: 0.141667, test avg acc: 0.141667
Train 41, loss: 3.286484, train acc: 0.102431, train avg acc: 0.102586
Test 41, loss: 3.237646, test acc: 0.112500, test avg acc: 0.112500
Train 42, loss: 3.269327, train acc: 0.116319, train avg acc: 0.116268
Test 42, loss: 3.247003, test acc: 0.125000, test avg acc: 0.125000
Train 43, loss: 3.265228, train acc: 0.118056, train avg acc: 0.117744
Test 43, loss: 3.242196, test acc: 0.108333, test avg acc: 0.108333
Train 44, loss: 3.248187, train acc: 0.127604, train avg acc: 0.127829
Test 44, loss: 3.245310, test acc: 0.129167, test avg acc: 0.129167
Train 45, loss: 3.249162, train acc: 0.126736, train avg acc: 0.126048
Test 45, loss: 3.231726, test acc: 0.133333, test avg acc: 0.133333
Train 46, loss: 3.249200, train acc: 0.123264, train avg acc: 0.123210
Test 46, loss: 3.221942, test acc: 0.120833, test avg acc: 0.120833
Train 47, loss: 3.256140, train acc: 0.126736, train avg acc: 0.127110
Test 47, loss: 3.225359, test acc: 0.145833, test avg acc: 0.145833
Train 48, loss: 3.261331, train acc: 0.112847, train avg acc: 0.113162
Test 48, loss: 3.221233, test acc: 0.150000, test avg acc: 0.150000
Train 49, loss: 3.237391, train acc: 0.127604, train avg acc: 0.127751
Test 49, loss: 3.225652, test acc: 0.129167, test avg acc: 0.129167
